날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-03-14,0,0,0,0,0,0,0,374400,2044800,4992000,8236800,9820800,10444800,10281600,9292800,7507200,4694400,1776000,163200,0,0,0,0,0
2021-03-15,0,0,0,0,0,0,0,364800,1718400,3619200,6163200,9273600,9955200,10387200,8928000,7276800,2899200,1056000,9600,0,0,0,0,0
2021-03-16,0,0,0,0,0,0,0,268800,691200,3312000,7248000,9974400,10454400,11510400,10416000,7996800,5731200,2524800,240000,0,0,0,0,0
2021-03-17,0,0,0,0,0,0,0,1046400,4233600,7286400,9465600,10588800,9523200,8601600,7516800,6057600,2736000,1478400,249600,0,0,0,0,0
2021-03-18,0,0,0,0,0,0,9600,921600,3360000,6729600,8793600,10012800,10521600,10368000,9504000,7766400,5472000,2140800,249600,0,0,0,0,0
2021-03-19,0,0,0,0,0,0,0,691200,3043200,6412800,8284800,9571200,9840000,8544000,5961600,4521600,3360000,1555200,211200,0,0,0,0,0
2021-03-20,0,0,0,0,0,0,0,19200,163200,537600,1094400,1488000,816000,1478400,988800,1200000,1344000,1036800,0,0,0,0,0,0
2021-03-21,0,0,0,0,0,0,0,585600,2284800,5328000,6355200,7929600,7920000,4291200,5769600,6326400,3696000,1478400,144000,0,0,0,0,0
2021-03-22,0,0,0,0,0,0,0,1392000,4713600,7776000,10032000,11337600,11548800,11443200,10444800,8380800,5654400,2457600,288000,0,0,0,0,0
2021-03-23,0,0,0,0,0,0,19200,1036800,3388800,6595200,8995200,10272000,10761600,10569600,9648000,7814400,5260800,2323200,278400,0,0,0,0,0
2021-03-24,0,0,0,0,0,0,19200,1027200,1824000,5740800,8236800,7910400,8496000,10819200,9110400,7632000,5068800,1574400,518400,0,0,0,0,0
2021-03-25,0,0,0,0,0,0,38400,1171200,3782400,7171200,8976000,10233600,11040000,10819200,10012800,8265600,5644800,2563200,316800,0,0,0,0,0
2021-03-26,0,0,0,0,0,0,0,364800,1766400,7267200,9158400,9638400,9321600,9542400,9129600,8025600,4924800,1622400,355200,0,0,0,0,0
2021-03-27,0,0,0,0,0,0,9600,451200,1084800,1132800,1152000,1344000,2352000,1660800,700800,249600,57600,0,0,0,0,0,0,0
2021-03-28,0,0,0,0,0,0,9600,604800,2025600,2524800,2841600,4867200,8851200,9225600,9705600,7776000,5097600,2140800,288000,0,0,0,0,0
2021-03-29,0,0,0,0,0,0,28800,748800,2380800,4867200,6998400,8294400,8918400,8860800,8112000,6153600,4051200,1372800,307200,0,0,0,0,0
